data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,event_type_2,Police Involved?,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin2-rev,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
320759,788,TUN471,471,14-May-11,2011,1,Strategic development,Strategic development,0,Militia (Pro-Government),,3,Military Forces of Tunisia (2011-2014),,1,13,Northern Africa,Tunisia,Tataouine,Tataouine Nord,Tataouine Nord,,Tataouine,32.9297,10.4518,2,BBC Monitoring Middle East,National,Tunisian army encounters Pro-Gaddafi Libyan forces trying to cross into Tunisian territory at Ghar Ayoub in Tatouine.,0,1515624295,TUN
320760,788,TUN472,472,14-May-11,2011,1,Riots/Protests,Protest,0,Protesters (Tunisia),AMT: Tunisian Judges Association,6,,,0,60,Northern Africa,Tunisia,Tunis,Bab Souika,Bab Souika,,Tunis,36.819,10.1658,3,Al Jazeera TV,International,"Tunisian Judges Association slams Ministry of Justice for ""forestalling"" reform, stagesÃÂ protestÃÂ against high judiciary council, calls for Minister of Justice to step down.",0,1515624295,TUN
320756,788,TUN468,468,9-May-11,2011,2,Riots/Protests,Riot,0,Rioters (Tunisia),,5,,,0,50,Northern Africa,Tunisia,Beja,Beja Sud,Beja Sud,,Beja,36.7256,9.1817,1,Al Jazeera TV,International,Groups of people tried to disrupt the weekly market andÃÂ attackÃÂ shops while others stormed the Baja provinces headquarters and forced the governor and workers to take refuge in nearby army barracks.,0,1515624295,TUN
320757,788,TUN469,469,9-May-11,2011,2,Riots/Protests,Protest,0,Police Forces of Tunisia (2011-2014),Military Forces of Tunisia (2011-2014),1,Protesters (Tunisia),,6,16,Northern Africa,Tunisia,Beja,Beja Sud,Beja Sud,,Beja,36.7256,9.1817,2,Al Jazeera TV,International,"Police and army units dispersedÃÂ protestsÃÂ that were being held across the provincial capital, Beja,ÃÂ ",0,1515624295,TUN
320750,788,TUN462,462,8-May-11,2011,1,Riots/Protests,Riot,0,Rioters (Tunisia),,5,,,0,50,Northern Africa,Tunisia,Tunis,Bardo,Bardo,,Cite Ettadhamen,36.8358,10.1068,1,Agence France Presse,International,"Young men rioted in the Ettadhamen suburb of Tunis as military choppers patrolled overhead, a resident told AFP.",0,1515624295,TUN
320751,788,TUN463,463,8-May-11,2011,1,Riots/Protests,Riot,0,Police Forces of Tunisia (2011-2014),,1,Rioters (Tunisia),,5,15,Northern Africa,Tunisia,Tunis,Omrane Superieur,Omrane Superieur,,Khaled Ibn Walid,36.8537,10.133,1,Agence France Presse,International,"12 armed youths were arrested Sunday in the Khaled Ibn Walid area in the suburbs, where a bank and a shop were said to have been set on fire.",0,1515624295,TUN
320752,788,TUN464,464,8-May-11,2011,1,Riots/Protests,Riot,0,Military Forces of Tunisia (2011-2014),,1,Rioters (Tunisia),,5,15,Northern Africa,Tunisia,Nabeul,Soliman,Soliman,,Soliman,36.6964,10.4917,1,Agence France Presse,International,Rioters clash with military. Soldier shoots 25 year old during protest.,1,1515624295,TUN
320753,788,TUN465,465,8-May-11,2011,1,Riots/Protests,Protest,0,Protesters (Tunisia),,6,,,0,60,Northern Africa,Tunisia,Nabeul,Soliman,Soliman,,Soliman,36.6964,10.4917,1,Associated Press,International,Protests demanding change in government,0,1515624295,TUN
320754,788,TUN466,466,8-May-11,2011,1,Violence against civilians,Violence against civilians,0,Military Forces of Tunisia (2011-2014),,1,Civilians (Tunisia),Protesters (Tunisia),7,17,Northern Africa,Tunisia,Nabeul,Soliman,Soliman,,Soliman,36.6964,10.4917,1,Associated Press,International,Soldier shoots civilian during protest,1,1515624295,TUN
320755,788,TUN467,467,8-May-11,2011,1,Riots/Protests,Protest,0,Protesters (Tunisia),,6,Police Forces of Tunisia (2011-2014),,1,16,Northern Africa,Tunisia,Tunis,Bab Souika,Bab Souika,,Tunis,36.819,10.1658,1,Reuters; Agence France Presse,International,Police used teargas to disperse protesters taking part in an anti-government demonstration in Tunis Sunday. About 200 protesters gathered outside the municipal theatre and along the Habib Bourguiba Avenue in central Tunis and sang the national anthem to galvanise support.,0,1515624295,TUN
320739,788,TUN451,451,7-May-11,2011,1,Riots/Protests,Riot,0,Rioters (Tunisia),,5,,,0,50,Northern Africa,Tunisia,Tunis,Omrane,Omrane,,Cite Ibn Khaldoun,36.8274,10.1385,1,Agence France Presse,International,"Young men armed with knives, chains, sabres and gasÃÂ bombsÃÂ burned down five police stations in five cities including Mnihla, Intilaka, Ibn Khaldoun, El-Mourouj V and Kasserine, an interior ministry official told AFP. Officials blamed militia loyal to the now defunct party of Ben Ali as paying youth to riot.",0,1515624294,TUN
320740,788,TUN452,452,7-May-11,2011,1,Riots/Protests,Riot,0,Rioters (Tunisia),,5,,,0,50,Northern Africa,Tunisia,Ariana,Mnihla,Mnihla,,El Mnihla,36.8662,10.1122,1,Agence France Presse,International,"Young men armed with knives, chains, sabres and gasÃÂ bombsÃÂ burned down five police stations in five cities including Mnihla, Intilaka, Ibn Khaldoun, El-Mourouj V and Kasserine, an interior ministry official told AFP. Officials blamed militia loyal to the now defunct party of Ben Ali as paying youth to riot.",0,1515624294,TUN
320741,788,TUN453,453,7-May-11,2011,1,Riots/Protests,Riot,0,Rioters (Tunisia),,5,,,0,50,Northern Africa,Tunisia,Ben Arous (Tunis Sud),Fouchana,Fouchana,,El Mourouj,36.7131,10.211,1,Agence France Presse,International,"Young men armed with knives, chains, sabres and gasÃÂ bombsÃÂ burned down five police stations in five cities including Mnihla, Intilaka, Ibn Khaldoun, El-Mourouj V and Kasserine, an interior ministry official told AFP. Officials blamed militia loyal to the now defunct party of Ben Ali as paying youth to riot.",0,1515624294,TUN
320742,788,TUN454,454,7-May-11,2011,1,Riots/Protests,Riot,0,Rioters (Tunisia),,5,,,0,50,Northern Africa,Tunisia,Tunis,El Tahrir,El Tahrir,,Intilaka,36.8393,10.1167,1,Agence France Presse,International,"Young men armed with knives, chains, sabres and gasÃÂ bombsÃÂ burned down five police stations in five cities including Mnihla, Intilaka, Ibn Khaldoun, El-Mourouj V and Kasserine, an interior ministry official told AFP. Officials blamed militia loyal to the now defunct party of Ben Ali as paying youth to riot.",0,1515624294,TUN
320743,788,TUN455,455,7-May-11,2011,1,Riots/Protests,Riot,0,Rioters (Tunisia),,5,,,0,50,Northern Africa,Tunisia,Kasserine,Ezzouhour,Ezzouhour-Kasserine,,Kasserine,35.1676,8.8365,1,Agence France Presse,International,"Young men armed with knives, chains, sabres and gasÃÂ bombsÃÂ burned down five police stations in five cities including Mnihla, Intilaka, Ibn Khaldoun, El-Mourouj V and Kasserine, an interior ministry official told AFP. Officials blamed militia loyal to the now defunct party of Ben Ali as paying youth to riot.",0,1515624294,TUN
320744,788,TUN456,456,7-May-11,2011,1,Riots/Protests,Riot,0,Rioters (Tunisia),,5,,,0,50,Northern Africa,Tunisia,Tunis,La Goulette,La Goulette,,Le Kram,36.8333,10.3167,1,Agency Tunis Afrique Presse,National,"Commercial spaces in Sidi Hassine and Kram in Greater Tunis as well as houses (Governorate of Sousse) were ransacked and looted, in addition to a fire set to the headquarters of the regional division of agriculture in Sidi Bouzid on 7 May.",0,1515624294,TUN
